offer_id,name,external_id,status,gtin,stock,price@allegro-pl,currency@allegro-pl,url
18816015683,Plakat Tańczące lisy w blasku księżyca 50x70,plakaty-dla-dzieci-dancing-foxes-in-moonlight-3382d224-ramka-50x70,INACTIVE,,100,71.00,PLN,
13684329678,PEX HAK PODŁOGOWY POJEDYNCZY DO RURY PEX -100 SZT.,,ACTIVE,5901912670051,85,28.99,PLN,https://allegro.pl/oferta/13684329678
13682993077,PEX Hak podłogowy PODWÓJNY do rury pex 100szt,OPASKA PODWÓJNA 80MM - /MEWKA/ [1951],ACTIVE,5901912670303,89,29.99,PLN,https://allegro.pl/oferta/13682993077
